Selection_table1,View,Channel,BeginFile_table1,EndFile,BeginTime_s__table1,EndTime_s__table1,BegFileSamp_samples_,EndFileSamp_samples_,BeginDateTime,DeltaTime_s__table1,LowFreq_Hz_,HighFreq_Hz_,Dur90__s_,Freq5__Hz_,Freq95__Hz_,From,channel_table1,t0_table1,tEnd_table1,duration_table1,fLow_table1,fHigh_table1,freq_table1_1,freq_table1_2,soundFolder_table1,siteCode_table1,classification_table1,key,detect_t1,Selection_table2,BeginTime_s__table2,EndTime_s__table2,LowFrequency_Hz_,HighFrequency_Hz_,BeginFile_table2,FileOffset_s_,Score,Tags,BeginPath,channel_table2,t0_table2,DeltaTime_s__table2,tEnd_table2,duration_table2,fLow_table2,fHigh_table2,freq_table2_1,freq_table2_2,soundFolder_table2,siteCode_table2,classification_table2,detect_t2,overlap,t0,dt0,duration,tEnd,freq_1,freq_2,soundFolder,result,snr,rmsSignal,rmsNoise,noiseVar,verdict,freq_1,freq_2,snrLurton
1,Spectrogram 1,1,20181225_180000.wav,20181225_180000.wav,3825.755235,3830.735259,225898,230878,03:45.8,4.98,49.6,88.9,4.312,50.781,83.984,,1,737419.7526,737419.7527,4.979997128,49.6,88.9,49.6,88.9,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,1,48,3825.857,3832.353,20,115,20181225_180000.wav,226,1,Bm-D,NaN,1,737419.7526,6.496,737419.7527,6.49600178,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,195.7138871,737419.7526,25/12/2018 18:03,6.49600178,737419.7527,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-11.58786488,1.59E-06,1.78E-06,7.65E-13,1,20,115,-13.28415665
2,Spectrogram 1,1,20181225_180000.wav,20181225_180000.wav,4030.758652,4034.401975,430902,434545,07:10.8,3.6433,39.9,78.5,2.618,41.016,71.289,,1,737419.755,737419.755,3.643301502,39.9,78.5,39.9,78.5,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,2,1,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,0,NaN,737419.755,25/12/2018 18:07,3.643301502,737419.755,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,,-20.56638233,3.05E-06,2.70E-06,2.39E-12,0,20,115,-13.10331449
3,Spectrogram 1,1,20181225_180000.wav,20181225_180000.wav,4195.534594,4198.416462,595678,598559,09:55.5,2.8819,46.3,90.4,2.464,49.805,83.008,,1,737419.7569,737419.7569,2.881899476,46.3,90.4,46.3,90.4,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,3,1,53,4193.857,4200.353,20,115,20181225_180000.wav,594,0.99,Bm-D,NaN,1,737419.7569,6.496,737419.757,6.49600178,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,127.0917669,737419.7569,25/12/2018 18:09,6.49600178,737419.757,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-16.68282611,2.10E-06,2.10E-06,1.22E-12,1,20,115,-66.16603567
4,Spectrogram 1,1,20181225_180000.wav,20181225_180000.wav,5444.229748,5446.664429,1844373,1846807,30:44.2,2.4347,37.5,70.7,2.002,40.039,66.406,,1,737419.7713,737419.7714,2.43469812,37.5,70.7,37.5,70.7,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,4,1,72,5441.857,5448.353,20,115,20181225_180000.wav,1842,1,Bm-D,NaN,1,737419.7713,6.496,737419.7714,6.49600178,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,80.83197758,737419.7713,25/12/2018 18:30,6.49600178,737419.7714,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-13.91313775,1.42E-06,1.63E-06,3.75E-13,1,20,115,-9.190443545
5,Spectrogram 1,1,20181227_160000.wav,20181227_160000.wav,7686.817498,7693.052834,487103,493339,08:07.8,6.2353,33.2,92.9,5.39,34.18,82.031,,1,737421.6723,737421.6724,6.235301122,33.2,92.9,33.2,92.9,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,5,1,96,7687.714,7694.21,20,115,20181227_160000.wav,488,1,Bm-D,NaN,1,737421.6723,6.496,737421.6724,6.49600178,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,372.247477,737421.6723,27/12/2018 16:08,6.49600178,737421.6724,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-17.26268671,2.15E-06,1.86E-06,3.84E-13,1,20,115,-6.41731078
6,Spectrogram 1,1,20181227_160000.wav,20181227_160000.wav,8536.471439,8539.402994,1336757,1339689,22:16.5,2.9316,39.2,72,2.464,41.992,67.383,,1,737421.6821,737421.6822,2.931597456,39.2,72,39.2,72,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,6,1,104,8535.714,8542.21,20,115,20181227_160000.wav,1336,1,Bm-D,NaN,1,737421.6821,6.496,737421.6822,6.49600178,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,96.15639657,737421.6821,27/12/2018 16:22,6.49600178,737421.6822,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-5.750168713,2.47E-06,2.85E-06,1.26E-12,1,20,115,-9.482543072
7,Spectrogram 1,1,20181227_160000.wav,20181227_160000.wav,8998.38999,9002.812166,1798676,1803098,29:58.4,4.4222,21.9,75.1,4.158,23.438,66.406,,1,737421.6875,737421.6875,4.422204942,21.9,75.1,21.9,75.1,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,7,1,111,8997.714,9004.21,20,115,20181227_160000.wav,1798,0.99,Bm-D,NaN,1,737421.6875,6.496,737421.6876,6.49600178,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,235.2613029,737421.6875,27/12/2018 16:29,6.49600178,737421.6876,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-5.612278928,2.57E-06,2.12E-06,4.35E-13,1,20,115,-3.403769392
8,Spectrogram 1,1,20181227_160000.wav,20181227_160000.wav,9273.900127,9276.831682,2074186,2077118,34:34.9,2.9316,36.1,70.5,2.464,38.086,66.406,,1,737421.6907,737421.6907,2.931597456,36.1,70.5,36.1,70.5,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,8,1,117,9271.714,9278.21,20,115,20181227_160000.wav,2072,1,Bm-D,NaN,1,737421.6906,6.496,737421.6907,6.49600178,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,100.8469525,737421.6907,27/12/2018 16:34,6.49600178,737421.6908,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-10.57729788,2.17E-06,3.81E-06,3.52E-11,1,20,115,-11.14727781
9,Spectrogram 1,1,20181227_160000.wav,20181227_160000.wav,9383.625222,9387.302088,2183911,2187588,36:23.6,3.6769,15.5,70.9,3.388,17.578,63.477,,1,737421.6919,737421.692,3.67689617,15.5,70.9,15.5,70.9,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,9,1,121,9381.714,9388.21,20,115,20181227_160000.wav,2182,1,Bm-D,NaN,1,737421.6919,6.496,737421.692,6.49600178,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,203.7000478,737421.6919,27/12/2018 16:36,6.49600178,737421.692,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,12.86764543,2.98E-06,1.96E-06,2.57E-13,1,20,115,6.061256119
10,Spectrogram 1,1,20181227_160000.wav,20181227_160000.wav,9550.568703,9553.699007,2350855,2353985,39:10.6,3.1303,30.8,68,2.772,32.227,62.5,,1,737421.6939,737421.6939,3.130298853,30.8,68,30.8,68,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,10,1,122,9547.714,9556.21,20,115,20181227_160000.wav,2348,1,Bm-D,NaN,1,737421.6938,8.496,737421.6939,8.49600099,20,115,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,casey2019,Bm-D,1,116.4471173,737421.6939,27/12/2018 16:39,8.49600099,737421.694,20,115,m:\annotatedLibrary_MGA\Casey2019\wav\,tp,-16.53435472,2.62E-06,2.36E-06,1.83E-12,1,20,115,-14.34281846
